,Zeitstempel,Wert
0,202001010000.0,0.1
1,202001010100.0,-2.1
2,202001010200.0,-3.3
3,202001010300.0,-2.8
4,202001010400.0,-3.5
5,202001010500.0,-4.1
6,202001010600.0,-4.1
7,202001010700.0,-4.1
8,202001010800.0,-4.6
9,202001010900.0,-4.5
10,202001011000.0,-3.0
11,202001011100.0,1.5
12,202001011200.0,3.1
13,202001011300.0,4.1
14,202001011400.0,4.7
15,202001011500.0,3.6
16,202001011600.0,1.2
17,202001011700.0,0.1
18,202001011800.0,0.2
19,202001011900.0,-0.3
20,202001012000.0,-0.8
21,202001012100.0,-2.5
22,202001012200.0,-3.1
23,202001012300.0,-3.1
24,202001020000.0,-3.9
25,202001020100.0,-3.4
26,202001020200.0,-3.8
27,202001020300.0,-4.3
28,202001020400.0,-4.0
29,202001020500.0,-4.4
30,202001020600.0,-2.7
31,202001020700.0,-1.6
32,202001020800.0,-3.1
33,202001020900.0,0.0
34,202001021000.0,1.2
35,202001021100.0,3.2
36,202001021200.0,2.6
37,202001021300.0,0.9
38,202001021400.0,0.9
39,202001021500.0,0.3
40,202001021600.0,0.4
41,202001021700.0,1.0
42,202001021800.0,1.2
43,202001021900.0,1.8
44,202001022000.0,2.7
45,202001022100.0,3.4
46,202001022200.0,3.5
47,202001022300.0,3.5
48,202001030000.0,3.6
49,202001030100.0,3.7
50,202001030200.0,4.0
51,202001030300.0,4.3
52,202001030400.0,4.6
53,202001030500.0,4.7
54,202001030600.0,5.1
55,202001030700.0,5.4
56,202001030800.0,5.8
57,202001030900.0,6.2
58,202001031000.0,7.3
59,202001031100.0,7.4
60,202001031200.0,8.1
61,202001031300.0,8.7
62,202001031400.0,8.0
63,202001031500.0,8.2
64,202001031600.0,8.6
65,202001031700.0,8.5
66,202001031800.0,8.4
67,202001031900.0,6.9
68,202001032000.0,5.3
69,202001032100.0,5.3
70,202001032200.0,5.2
71,202001032300.0,4.4
72,202001040000.0,4.4
73,202001040100.0,4.6
74,202001040200.0,3.8
75,202001040300.0,3.7
76,202001040400.0,4.0
77,202001040500.0,4.3
78,202001040600.0,4.4
79,202001040700.0,4.8
80,202001040800.0,5.1
81,202001040900.0,5.6
82,202001041000.0,5.9
83,202001041100.0,5.9
84,202001041200.0,6.0
85,202001041300.0,6.0
86,202001041400.0,6.4
87,202001041500.0,4.6
88,202001041600.0,4.0
89,202001041700.0,4.5
90,202001041800.0,3.2
91,202001041900.0,2.8
92,202001042000.0,3.1
93,202001042100.0,3.0
94,202001042200.0,3.2
95,202001042300.0,2.8
96,202001050000.0,2.6
97,202001050100.0,2.3
98,202001050200.0,3.5
99,202001050300.0,3.4
100,202001050400.0,3.1
101,202001050500.0,2.6
102,202001050600.0,1.6
103,202001050700.0,1.3
104,202001050800.0,0.9
105,202001050900.0,1.3
106,202001051000.0,2.7
107,202001051100.0,4.3
108,202001051200.0,5.0
109,202001051300.0,5.1
110,202001051400.0,5.4
111,202001051500.0,5.3
112,202001051600.0,5.2
113,202001051700.0,5.4
114,202001051800.0,5.6
115,202001051900.0,6.0
116,202001052000.0,6.0
117,202001052100.0,5.7
118,202001052200.0,5.7
119,202001052300.0,5.8
120,202001060000.0,5.5
121,202001060100.0,5.5
122,202001060200.0,5.4
123,202001060300.0,5.4
124,202001060400.0,5.2
125,202001060500.0,5.4
126,202001060600.0,5.7
127,202001060700.0,5.7
128,202001060800.0,5.6
129,202001060900.0,5.6
130,202001061000.0,5.6
131,202001061100.0,5.8
132,202001061200.0,5.7
133,202001061300.0,5.7
134,202001061400.0,5.9
135,202001061500.0,5.6
136,202001061600.0,5.3
137,202001061700.0,4.1
138,202001061800.0,2.8
139,202001061900.0,2.4
140,202001062000.0,2.2
141,202001062100.0,2.3
142,202001062200.0,2.0
143,202001062300.0,1.8
144,202001070000.0,1.5
145,202001070100.0,3.1
146,202001070200.0,4.3
147,202001070300.0,4.0
148,202001070400.0,3.8
149,202001070500.0,4.1
150,202001070600.0,4.4
151,202001070700.0,4.7
152,202001070800.0,5.0
153,202001070900.0,5.4
154,202001071000.0,5.9
155,202001071100.0,6.6
156,202001071200.0,7.2
157,202001071300.0,7.2
158,202001071400.0,7.5
159,202001071500.0,7.2
160,202001071600.0,5.8
161,202001071700.0,5.8
162,202001071800.0,5.4
163,202001071900.0,6.1
164,202001072000.0,6.3
165,202001072100.0,6.3
166,202001072200.0,6.5
167,202001072300.0,6.5
168,202001080000.0,6.0
169,202001080100.0,6.1
170,202001080200.0,6.8
171,202001080300.0,7.5
172,202001080400.0,7.7
173,202001080500.0,8.2
174,202001080600.0,8.1
175,202001080700.0,7.4
176,202001080800.0,7.6
177,202001080900.0,8.8
178,202001081000.0,8.6
179,202001081100.0,9.8
180,202001081200.0,10.0
181,202001081300.0,10.0
182,202001081400.0,10.5
183,202001081500.0,9.4
184,202001081600.0,10.3
185,202001081700.0,9.4
186,202001081800.0,8.8
187,202001081900.0,9.1
188,202001082000.0,9.4
189,202001082100.0,10.0
190,202001082200.0,9.9
191,202001082300.0,9.7
192,202001090000.0,9.4
193,202001090100.0,8.9
194,202001090200.0,8.8
195,202001090300.0,8.6
196,202001090400.0,8.2
197,202001090500.0,8.4
