,Zeitstempel,Wert
0,201501010000.0,3.4
1,201501010100.0,3.1
2,201501010200.0,2.6
3,201501010300.0,2.8
4,201501010400.0,2.5
5,201501010500.0,2.0
6,201501010600.0,1.9
7,201501010700.0,1.4
8,201501010800.0,1.5
9,201501010900.0,2.3
10,201501011000.0,3.0
11,201501011100.0,4.0
12,201501011200.0,5.0
13,201501011300.0,5.6
14,201501011400.0,5.3
15,201501011500.0,4.8
16,201501011600.0,4.4
17,201501011700.0,3.9
18,201501011800.0,3.9
19,201501011900.0,3.3
20,201501012000.0,4.5
21,201501012100.0,4.7
22,201501012200.0,4.4
23,201501012300.0,5.5
24,201501020000.0,5.4
25,201501020100.0,6.3
26,201501020200.0,7.0
27,201501020300.0,7.4
28,201501020400.0,7.2
29,201501020500.0,5.7
30,201501020600.0,5.9
31,201501020700.0,6.5
32,201501020800.0,6.7
33,201501020900.0,6.4
34,201501021000.0,7.5
35,201501021100.0,8.5
36,201501021200.0,8.3
37,201501021300.0,8.4
38,201501021400.0,7.3
39,201501021500.0,6.8
40,201501021600.0,6.5
41,201501021700.0,6.4
42,201501021800.0,6.5
43,201501021900.0,6.2
44,201501022000.0,5.6
45,201501022100.0,5.5
46,201501022200.0,5.1
47,201501022300.0,5.3
48,201501030000.0,5.3
49,201501030100.0,5.0
50,201501030200.0,4.6
51,201501030300.0,4.3
52,201501030400.0,4.0
53,201501030500.0,3.6
54,201501030600.0,3.4
55,201501030700.0,3.6
56,201501030800.0,4.1
57,201501030900.0,4.5
58,201501031000.0,4.8
59,201501031100.0,5.0
60,201501031200.0,5.1
61,201501031300.0,4.8
62,201501031400.0,4.1
63,201501031500.0,3.8
64,201501031600.0,3.6
65,201501031700.0,3.4
66,201501031800.0,3.5
67,201501031900.0,3.5
68,201501032000.0,3.5
69,201501032100.0,3.6
70,201501032200.0,3.1
71,201501032300.0,3.6
72,201501040000.0,3.0
73,201501040100.0,3.0
74,201501040200.0,2.5
75,201501040300.0,2.7
76,201501040400.0,2.9
77,201501040500.0,2.7
78,201501040600.0,2.8
79,201501040700.0,2.8
80,201501040800.0,2.9
81,201501040900.0,3.0
82,201501041000.0,3.5
83,201501041100.0,4.5
84,201501041200.0,5.1
85,201501041300.0,5.5
86,201501041400.0,5.5
87,201501041500.0,4.1
88,201501041600.0,4.8
89,201501041700.0,3.4
90,201501041800.0,3.4
91,201501041900.0,2.9
92,201501042000.0,2.7
93,201501042100.0,2.9
94,201501042200.0,3.2
95,201501042300.0,2.8
96,201501050000.0,2.9
97,201501050100.0,2.4
98,201501050200.0,1.6
99,201501050300.0,1.8
100,201501050400.0,1.4
101,201501050500.0,1.7
102,201501050600.0,1.7
103,201501050700.0,1.7
104,201501050800.0,1.9
105,201501050900.0,1.9
106,201501051000.0,2.3
107,201501051100.0,2.9
108,201501051200.0,3.4
109,201501051300.0,3.6
110,201501051400.0,3.5
111,201501051500.0,3.2
112,201501051600.0,2.9
113,201501051700.0,2.6
114,201501051800.0,2.6
115,201501051900.0,2.7
116,201501052000.0,2.7
117,201501052100.0,2.8
118,201501052200.0,2.6
119,201501052300.0,2.6
120,201501060000.0,2.6
121,201501060100.0,2.5
122,201501060200.0,2.7
123,201501060300.0,2.3
124,201501060400.0,2.1
125,201501060500.0,2.4
126,201501060600.0,2.5
127,201501060700.0,2.4
128,201501060800.0,2.7
129,201501060900.0,2.9
130,201501061000.0,2.9
131,201501061100.0,3.4
132,201501061200.0,3.8
133,201501061300.0,3.8
134,201501061400.0,3.7
135,201501061500.0,3.4
136,201501061600.0,2.9
137,201501061700.0,2.5
138,201501061800.0,2.2
139,201501061900.0,1.6
140,201501062000.0,1.0
141,201501062100.0,2.3
142,201501062200.0,2.2
143,201501062300.0,2.5
144,201501070000.0,3.4
145,201501070100.0,3.4
146,201501070200.0,3.8
147,201501070300.0,4.1
148,201501070400.0,4.0
149,201501070500.0,4.3
150,201501070600.0,3.9
151,201501070700.0,4.3
152,201501070800.0,4.4
153,201501070900.0,4.9
154,201501071000.0,5.0
155,201501071100.0,5.5
156,201501071200.0,5.4
157,201501071300.0,5.4
158,201501071400.0,5.5
159,201501071500.0,4.6
160,201501071600.0,3.7
161,201501071700.0,3.3
162,201501071800.0,3.5
163,201501071900.0,3.8
164,201501072000.0,4.1
165,201501072100.0,3.7
166,201501072200.0,3.4
167,201501072300.0,3.0
168,201501080000.0,3.2
169,201501080100.0,2.8
170,201501080200.0,3.3
171,201501080300.0,4.0
172,201501080400.0,4.0
173,201501080500.0,3.9
174,201501080600.0,4.0
175,201501080700.0,4.8
176,201501080800.0,5.4
177,201501080900.0,5.5
178,201501081000.0,6.4
179,201501081100.0,7.0
180,201501081200.0,6.9
181,201501081300.0,6.3
182,201501081400.0,6.3
183,201501081500.0,6.5
184,201501081600.0,6.7
185,201501081700.0,7.3
186,201501081800.0,6.6
187,201501081900.0,4.6
188,201501082000.0,4.6
189,201501082100.0,5.4
190,201501082200.0,5.3
191,201501082300.0,5.8
192,201501090000.0,5.9
193,201501090100.0,5.9
194,201501090200.0,5.7
195,201501090300.0,5.9
196,201501090400.0,6.3
197,201501090500.0,6.8
198,201501090600.0,7.3
199,201501090700.0,7.8
200,201501090800.0,8.4
201,201501090900.0,8.6
202,201501091000.0,8.8
203,201501091100.0,8.8
204,201501091200.0,8.3
205,201501091300.0,8.9
206,201501091400.0,9.8
207,201501091500.0,9.8
208,201501091600.0,9.4
209,201501091700.0,9.3
210,201501091800.0,8.0
211,201501091900.0,7.2
212,201501092000.0,6.5
213,201501092100.0,5.7
214,201501092200.0,5.7
215,201501092300.0,5.8
216,201501100000.0,7.3
217,201501100100.0,10.0
218,201501100200.0,11.8
219,201501100300.0,12.2
220,201501100400.0,12.1
221,201501100500.0,12.2
222,201501100600.0,11.9
223,201501100700.0,12.0
224,201501100800.0,12.2
225,201501100900.0,11.8
226,201501101000.0,12.1
227,201501101100.0,12.2
228,201501101200.0,11.7
229,201501101300.0,11.2
230,201501101400.0,11.2
231,201501101500.0,9.9
232,201501101600.0,8.7
