,Zeitstempel,Wert
0,201901010000.0,8.0
1,201901010100.0,7.5
2,201901010200.0,7.2
3,201901010300.0,7.4
4,201901010400.0,7.4
5,201901010500.0,7.1
6,201901010600.0,6.8
7,201901010700.0,6.8
8,201901010800.0,6.9
9,201901010900.0,7.2
10,201901011000.0,7.4
11,201901011100.0,7.4
12,201901011200.0,7.9
13,201901011300.0,7.6
14,201901011400.0,7.5
15,201901011500.0,5.4
16,201901011600.0,5.3
17,201901011700.0,4.7
18,201901011800.0,4.5
19,201901011900.0,4.1
20,201901012000.0,4.0
21,201901012100.0,4.0
22,201901012200.0,2.6
23,201901012300.0,2.4
24,201901020000.0,2.9
25,201901020100.0,2.5
26,201901020200.0,3.2
27,201901020300.0,3.5
28,201901020400.0,3.3
29,201901020500.0,2.9
30,201901020600.0,3.4
31,201901020700.0,3.4
32,201901020800.0,3.0
33,201901020900.0,3.3
34,201901021000.0,3.7
35,201901021100.0,4.0
36,201901021200.0,4.3
37,201901021300.0,4.1
38,201901021400.0,3.8
39,201901021500.0,3.2
40,201901021600.0,2.2
41,201901021700.0,0.5
42,201901021800.0,-0.9
43,201901021900.0,-1.3
44,201901022000.0,-1.7
45,201901022100.0,-2.2
46,201901022200.0,-1.9
47,201901022300.0,-2.9
48,201901030000.0,-3.1
49,201901030100.0,-3.7
50,201901030200.0,-3.3
51,201901030300.0,-3.9
52,201901030400.0,-4.1
53,201901030500.0,-3.8
54,201901030600.0,-4.0
55,201901030700.0,-3.9
56,201901030800.0,-3.1
57,201901030900.0,-1.9
58,201901031000.0,0.8
59,201901031100.0,1.9
60,201901031200.0,3.0
61,201901031300.0,3.3
62,201901031400.0,2.8
63,201901031500.0,2.0
64,201901031600.0,0.8
65,201901031700.0,0.2
66,201901031800.0,0.1
67,201901031900.0,-0.9
68,201901032000.0,-1.7
69,201901032100.0,-2.4
70,201901032200.0,-1.3
71,201901032300.0,-1.0
72,201901040000.0,-1.4
73,201901040100.0,-1.0
74,201901040200.0,-0.9
75,201901040300.0,-1.0
76,201901040400.0,-0.6
77,201901040500.0,0.2
78,201901040600.0,1.0
79,201901040700.0,1.2
80,201901040800.0,1.6
81,201901040900.0,2.2
82,201901041000.0,2.6
83,201901041100.0,2.9
84,201901041200.0,3.1
85,201901041300.0,3.3
86,201901041400.0,3.4
87,201901041500.0,3.8
88,201901041600.0,3.9
89,201901041700.0,4.2
90,201901041800.0,4.4
91,201901041900.0,5.0
92,201901042000.0,5.3
93,201901042100.0,5.4
94,201901042200.0,5.6
95,201901042300.0,5.9
96,201901050000.0,6.2
97,201901050100.0,6.3
98,201901050200.0,6.6
99,201901050300.0,6.7
100,201901050400.0,7.0
101,201901050500.0,7.1
102,201901050600.0,7.3
103,201901050700.0,7.5
104,201901050800.0,7.5
105,201901050900.0,7.4
106,201901051000.0,7.5
107,201901051100.0,7.6
108,201901051200.0,7.7
109,201901051300.0,7.6
110,201901051400.0,7.4
111,201901051500.0,7.4
112,201901051600.0,7.2
113,201901051700.0,7.2
114,201901051800.0,6.9
115,201901051900.0,6.9
116,201901052000.0,6.6
117,201901052100.0,6.5
118,201901052200.0,6.3
119,201901052300.0,6.2
120,201901060000.0,6.1
121,201901060100.0,6.2
122,201901060200.0,6.1
123,201901060300.0,6.1
124,201901060400.0,5.8
125,201901060500.0,5.7
126,201901060600.0,5.7
127,201901060700.0,5.6
128,201901060800.0,5.7
129,201901060900.0,6.0
130,201901061000.0,6.5
131,201901061100.0,6.6
132,201901061200.0,6.8
133,201901061300.0,6.4
134,201901061400.0,6.6
135,201901061500.0,6.7
136,201901061600.0,6.6
137,201901061700.0,6.5
138,201901061800.0,6.3
139,201901061900.0,6.1
140,201901062000.0,6.1
141,201901062100.0,5.8
142,201901062200.0,5.7
143,201901062300.0,5.8
144,201901070000.0,5.8
145,201901070100.0,5.8
146,201901070200.0,5.6
147,201901070300.0,5.6
148,201901070400.0,5.5
149,201901070500.0,5.4
150,201901070600.0,5.2
151,201901070700.0,4.9
152,201901070800.0,4.8
153,201901070900.0,4.9
154,201901071000.0,5.0
155,201901071100.0,5.1
156,201901071200.0,5.0
157,201901071300.0,5.5
158,201901071400.0,5.5
159,201901071500.0,5.5
160,201901071600.0,5.7
161,201901071700.0,6.0
162,201901071800.0,6.2
163,201901071900.0,6.4
164,201901072000.0,6.5
165,201901072100.0,6.8
166,201901072200.0,7.1
167,201901072300.0,7.2
168,201901080000.0,6.3
169,201901080100.0,7.0
170,201901080200.0,6.9
171,201901080300.0,6.6
172,201901080400.0,6.3
173,201901080500.0,6.0
174,201901080600.0,6.0
175,201901080700.0,5.9
176,201901080800.0,5.9
177,201901080900.0,5.9
178,201901081000.0,5.8
179,201901081100.0,5.6
180,201901081200.0,6.3
181,201901081300.0,5.8
182,201901081400.0,5.1
183,201901081500.0,5.5
184,201901081600.0,5.4
185,201901081700.0,4.8
186,201901081800.0,4.5
187,201901081900.0,4.3
188,201901082000.0,3.4
189,201901082100.0,3.6
190,201901082200.0,3.7
191,201901082300.0,3.7
192,201901090000.0,3.3
193,201901090100.0,3.2
194,201901090200.0,3.3
195,201901090300.0,3.2
196,201901090400.0,2.7
197,201901090500.0,2.3
198,201901090600.0,2.4
199,201901090700.0,2.4
200,201901090800.0,2.2
201,201901090900.0,2.4
202,201901091000.0,2.6
203,201901091100.0,2.6
204,201901091200.0,2.6
205,201901091300.0,2.6
206,201901091400.0,2.6
207,201901091500.0,2.2
208,201901091600.0,1.9
209,201901091700.0,2.2
210,201901091800.0,2.5
211,201901091900.0,2.5
212,201901092000.0,2.3
213,201901092100.0,2.3
214,201901092200.0,2.1
215,201901092300.0,2.2
216,201901100000.0,1.9
217,201901100100.0,1.6
218,201901100200.0,0.9
219,201901100300.0,0.1
220,201901100400.0,0.6
221,201901100500.0,0.1
222,201901100600.0,-0.4
223,201901100700.0,0.2
224,201901100800.0,-0.8
225,201901100900.0,-1.1
226,201901101000.0,0.4
227,201901101100.0,0.9
228,201901101200.0,1.2
229,201901101300.0,1.3
230,201901101400.0,1.5
231,201901101500.0,1.3
232,201901101600.0,1.1
233,201901101700.0,0.7
234,201901101800.0,0.3
235,201901101900.0,0.6
236,201901102000.0,0.5
237,201901102100.0,0.2
238,201901102200.0,0.3
239,201901102300.0,0.4
240,201901110000.0,0.5
241,201901110100.0,0.8
242,201901110200.0,0.9
243,201901110300.0,1.0
244,201901110400.0,1.2
245,201901110500.0,1.5
246,201901110600.0,1.7
247,201901110700.0,1.9
248,201901110800.0,2.2
249,201901110900.0,2.6
250,201901111000.0,3.1
251,201901111100.0,4.1
252,201901111200.0,5.5
253,201901111300.0,6.0
254,201901111400.0,6.7
255,201901111500.0,6.8
256,201901111600.0,5.9
257,201901111700.0,6.4
258,201901111800.0,6.4
259,201901111900.0,6.0
260,201901112000.0,5.9
261,201901112100.0,6.0
262,201901112200.0,6.0
263,201901112300.0,5.8
264,201901120000.0,5.8
265,201901120100.0,5.7
266,201901120200.0,6.0
267,201901120300.0,5.9
268,201901120400.0,5.6
269,201901120500.0,5.6
270,201901120600.0,5.6
271,201901120700.0,5.4
272,201901120800.0,5.3
273,201901120900.0,5.4
274,201901121000.0,5.2
275,201901121100.0,5.0
276,201901121200.0,5.4
