,Zeitstempel,Wert
0,201601010000.0,3.1
1,201601010100.0,2.8
2,201601010200.0,2.6
3,201601010300.0,3.0
4,201601010400.0,3.2
5,201601010500.0,2.9
6,201601010600.0,2.9
7,201601010700.0,3.0
8,201601010800.0,4.0
9,201601010900.0,4.9
10,201601011000.0,5.0
11,201601011100.0,5.7
12,201601011200.0,6.3
13,201601011300.0,6.3
14,201601011400.0,6.4
15,201601011500.0,6.2
16,201601011600.0,6.1
17,201601011700.0,5.9
18,201601011800.0,4.9
19,201601011900.0,4.3
20,201601012000.0,3.6
21,201601012100.0,2.1
22,201601012200.0,3.6
23,201601012300.0,3.7
24,201601020000.0,3.6
25,201601020100.0,3.4
26,201601020200.0,2.6
27,201601020300.0,3.0
28,201601020400.0,3.2
29,201601020500.0,3.3
30,201601020600.0,3.0
31,201601020700.0,2.6
32,201601020800.0,2.3
33,201601020900.0,1.8
34,201601021000.0,1.8
35,201601021100.0,1.9
36,201601021200.0,1.9
37,201601021300.0,1.6
38,201601021400.0,2.2
39,201601021500.0,2.3
40,201601021600.0,1.8
41,201601021700.0,1.2
42,201601021800.0,0.2
43,201601021900.0,-0.6
44,201601022000.0,-1.4
45,201601022100.0,-2.1
46,201601022200.0,-2.6
47,201601022300.0,-3.2
48,201601030000.0,-3.7
49,201601030100.0,-4.0
50,201601030200.0,-4.0
51,201601030300.0,-3.9
52,201601030400.0,-4.1
53,201601030500.0,-4.3
54,201601030600.0,-4.3
55,201601030700.0,-4.3
56,201601030800.0,-4.5
57,201601030900.0,-4.0
58,201601031000.0,-3.9
59,201601031100.0,-4.0
60,201601031200.0,-4.0
61,201601031300.0,-4.0
62,201601031400.0,-3.8
63,201601031500.0,-3.9
64,201601031600.0,-3.9
65,201601031700.0,-3.9
66,201601031800.0,-4.0
67,201601031900.0,-4.1
68,201601032000.0,-4.1
69,201601032100.0,-3.9
70,201601032200.0,-4.2
71,201601032300.0,-4.5
72,201601040000.0,-4.7
73,201601040100.0,-5.1
74,201601040200.0,-5.7
75,201601040300.0,-6.0
76,201601040400.0,-5.9
77,201601040500.0,-6.3
78,201601040600.0,-6.3
79,201601040700.0,-6.4
80,201601040800.0,-6.2
81,201601040900.0,-6.7
82,201601041000.0,-6.4
83,201601041100.0,-6.4
84,201601041200.0,-6.3
85,201601041300.0,-6.3
86,201601041400.0,-5.9
87,201601041500.0,-5.9
88,201601041600.0,-5.7
89,201601041700.0,-5.6
90,201601041800.0,-5.6
91,201601041900.0,-5.4
92,201601042000.0,-5.4
