,time,temperature
0,201502070400.0,-6.6
1,201601220200.0,-12.0
2,201701060500.0,-10.5
3,201701060800.0,-10.5
4,201803020600.0,-11.8
5,201901210600.0,-9.0
6,202001010800.0,-4.6
