,Zeitstempel,Wert
242,201801110200.0,0.7
243,201801110300.0,0.4
244,201801110400.0,-0.5
245,201801110500.0,-0.6
246,201801110600.0,0.0
247,201801110700.0,-0.7
248,201801110800.0,-1.0
249,201801110900.0,-0.7
250,201801111000.0,0.1
251,201801111100.0,0.9
252,201801111200.0,2.1
253,201801111300.0,4.1
254,201801111400.0,4.7
255,201801111500.0,3.8
256,201801111600.0,2.8
257,201801111700.0,2.1
258,201801111800.0,2.1
259,201801111900.0,2.0
260,201801112000.0,2.1
261,201801112100.0,2.1
262,201801112200.0,2.3
263,201801112300.0,2.1
264,201801120000.0,2.3
265,201801120100.0,2.1
266,201801120200.0,2.2
267,201801120300.0,2.3
268,201801120400.0,2.3
269,201801120500.0,2.3
270,201801120600.0,2.4
271,201801120700.0,2.6
272,201801120800.0,2.6
273,201801120900.0,2.2
274,201801121000.0,2.1
275,201801121100.0,2.6
276,201801121200.0,2.9
277,201801121300.0,2.4
278,201801121400.0,2.5
279,201801121500.0,2.5
280,201801121600.0,2.5
281,201801121700.0,2.6
282,201801121800.0,2.4
283,201801121900.0,2.2
284,201801122000.0,2.0
285,201801122100.0,2.2
286,201801122200.0,2.3
287,201801122300.0,2.3
288,201801130000.0,2.3
289,201801130100.0,2.4
290,201801130200.0,2.5
291,201801130300.0,2.6
292,201801130400.0,2.6
293,201801130500.0,2.6
294,201801130600.0,2.5
295,201801130700.0,2.6
296,201801130800.0,2.6
297,201801130900.0,2.4
298,201801131000.0,2.4
299,201801131100.0,2.3
300,201801131200.0,2.4
301,201801131300.0,2.3
302,201801131400.0,2.0
303,201801131500.0,2.0
304,201801131600.0,2.0
305,201801131700.0,1.3
306,201801131800.0,0.8
307,201801131900.0,0.5
308,201801132000.0,0.3
309,201801132100.0,0.1
310,201801132200.0,0.0
311,201801132300.0,0.1
312,201801140000.0,0.2
313,201801140100.0,0.5
314,201801140200.0,0.5
315,201801140300.0,0.5
316,201801140400.0,0.5
317,201801140500.0,0.4
318,201801140600.0,0.3
319,201801140700.0,-0.3
320,201801140800.0,-0.5
321,201801140900.0,-0.5
322,201801141000.0,-0.1
323,201801141100.0,0.7
324,201801141200.0,1.0
325,201801141300.0,1.4
326,201801141400.0,1.6
327,201801141500.0,1.0
328,201801141600.0,0.3
329,201801141700.0,0.0
330,201801141800.0,-0.2
331,201801141900.0,-0.6
332,201801142000.0,-0.7
333,201801142100.0,-0.9
334,201801142200.0,-1.2
335,201801142300.0,-1.1
336,201801150000.0,-0.7
337,201801150100.0,-0.5
338,201801150200.0,-0.5
339,201801150300.0,-0.3
340,201801150400.0,0.1
341,201801150500.0,0.2
342,201801150600.0,0.5
343,201801150700.0,0.4
344,201801150800.0,1.0
345,201801150900.0,1.8
346,201801151000.0,2.4
347,201801151100.0,3.4
348,201801151200.0,3.9
349,201801151300.0,4.3
350,201801151400.0,4.2
351,201801151500.0,4.0
352,201801151600.0,4.0
353,201801151700.0,4.7
354,201801151800.0,4.7
355,201801151900.0,4.9
356,201801152000.0,4.9
357,201801152100.0,4.6
358,201801152200.0,5.5
359,201801152300.0,5.6
360,201801160000.0,5.2
361,201801160100.0,4.8
362,201801160200.0,4.9
363,201801160300.0,5.5
364,201801160400.0,4.9
365,201801160500.0,5.0
366,201801160600.0,2.5
367,201801160700.0,3.2
368,201801160800.0,2.6
369,201801160900.0,2.3
370,201801161000.0,3.7
371,201801161100.0,2.6
372,201801161200.0,4.3
373,201801161300.0,3.1
374,201801161400.0,3.7
375,201801161500.0,3.9
376,201801161600.0,2.6
377,201801161700.0,2.3
378,201801161800.0,2.6
379,201801161900.0,1.4
380,201801162000.0,2.7
381,201801162100.0,2.0
382,201801162200.0,2.5
383,201801162300.0,2.6
384,201801170000.0,2.3
385,201801170100.0,2.3
386,201801170200.0,1.8
387,201801170300.0,1.4
388,201801170400.0,0.4
389,201801170500.0,0.8
390,201801170600.0,1.0
391,201801170700.0,1.2
392,201801170800.0,1.0
393,201801170900.0,1.4
394,201801171000.0,0.5
395,201801171100.0,1.9
396,201801171200.0,2.5
397,201801171300.0,2.7
398,201801171400.0,2.7
399,201801171500.0,2.0
400,201801171600.0,2.2
401,201801171700.0,2.3
402,201801171800.0,2.3
403,201801171900.0,2.3
404,201801172000.0,2.4
405,201801172100.0,2.2
406,201801172200.0,1.6
407,201801172300.0,2.4
408,201801180000.0,3.2
409,201801180100.0,3.3
410,201801180200.0,3.0
411,201801180300.0,2.5
412,201801180400.0,3.1
413,201801180500.0,3.3
414,201801180600.0,2.9
415,201801180700.0,2.4
416,201801180800.0,2.0
417,201801180900.0,3.7
418,201801181000.0,4.0
419,201801181100.0,6.9
420,201801181200.0,7.2
421,201801181300.0,4.3
422,201801181400.0,3.3
423,201801181500.0,3.1
424,201801181600.0,3.4
425,201801181700.0,3.3
426,201801181800.0,2.8
427,201801181900.0,2.5
428,201801182000.0,3.2
429,201801182100.0,3.0
430,201801182200.0,3.2
431,201801182300.0,3.2
432,201801190000.0,3.0
433,201801190100.0,3.0
434,201801190200.0,2.4
435,201801190300.0,1.7
436,201801190400.0,1.2
437,201801190500.0,0.2
438,201801190600.0,0.3
439,201801190700.0,-0.1
440,201801190800.0,0.9
441,201801190900.0,1.3
442,201801191000.0,1.9
443,201801191100.0,2.3
444,201801191200.0,2.5
445,201801191300.0,2.8
446,201801191400.0,3.0
447,201801191500.0,3.3
448,201801191600.0,3.2
449,201801191700.0,2.7
450,201801191800.0,2.1
451,201801191900.0,1.0
452,201801192000.0,1.6
453,201801192100.0,1.5
454,201801192200.0,1.1
455,201801192300.0,1.1
456,201801200000.0,1.5
457,201801200100.0,1.5
458,201801200200.0,1.6
459,201801200300.0,1.3
460,201801200400.0,1.4
461,201801200500.0,1.8
462,201801200600.0,1.8
463,201801200700.0,1.9
464,201801200800.0,1.9
465,201801200900.0,2.2
466,201801201000.0,2.6
467,201801201100.0,3.2
468,201801201200.0,3.2
469,201801201300.0,3.2
470,201801201400.0,2.8
471,201801201500.0,2.9
472,201801201600.0,2.8
473,201801201700.0,2.2
474,201801201800.0,1.9
475,201801201900.0,1.1
476,201801202000.0,0.8
477,201801202100.0,0.3
478,201801202200.0,0.1
479,201801202300.0,-0.1
480,201801210000.0,-0.1
481,201801210100.0,-0.4
482,201801210200.0,-0.2
483,201801210300.0,-0.6
484,201801210400.0,-0.7
485,201801210500.0,-0.7
486,201801210600.0,-0.3
487,201801210700.0,0.0
488,201801210800.0,0.1
489,201801210900.0,0.5
490,201801211000.0,1.1
491,201801211100.0,1.5
492,201801211200.0,1.9
493,201801211300.0,2.3
494,201801211400.0,2.5
495,201801211500.0,2.4
496,201801211600.0,2.3
497,201801211700.0,2.3
498,201801211800.0,1.6
499,201801211900.0,1.4
500,201801212000.0,1.4
501,201801212100.0,1.6
502,201801212200.0,1.4
503,201801212300.0,1.5
504,201801220000.0,1.4
505,201801220100.0,1.4
506,201801220200.0,1.2
507,201801220300.0,1.3
508,201801220400.0,1.3
509,201801220500.0,1.3
510,201801220600.0,1.4
511,201801220700.0,0.5
512,201801220800.0,0.8
513,201801220900.0,0.8
514,201801221000.0,1.2
515,201801221100.0,1.6
516,201801221200.0,1.7
517,201801221300.0,2.2
518,201801221400.0,2.6
519,201801221500.0,3.0
520,201801221600.0,3.7
521,201801221700.0,3.9
522,201801221800.0,4.0
523,201801221900.0,3.9
524,201801222000.0,3.9
525,201801222100.0,5.3
526,201801222200.0,5.5
527,201801222300.0,5.6
528,201801230000.0,5.5
529,201801230100.0,5.5
530,201801230200.0,5.6
531,201801230300.0,5.7
532,201801230400.0,5.6
533,201801230500.0,5.6
534,201801230600.0,5.8
535,201801230700.0,5.9
536,201801230800.0,6.1
537,201801230900.0,6.4
538,201801231000.0,6.7
539,201801231100.0,7.4
540,201801231200.0,7.8
541,201801231300.0,8.1
542,201801231400.0,8.1
543,201801231500.0,7.8
544,201801231600.0,7.4
545,201801231700.0,7.2
546,201801231800.0,7.0
547,201801231900.0,6.2
548,201801232000.0,6.7
549,201801232100.0,7.4
550,201801232200.0,7.8
551,201801232300.0,8.2
552,201801240000.0,8.8
553,201801240100.0,9.3
554,201801240200.0,9.8
555,201801240300.0,9.9
556,201801240400.0,10.3
557,201801240500.0,10.5
558,201801240600.0,10.9
559,201801240700.0,10.2
560,201801240800.0,11.1
561,201801240900.0,10.1
562,201801241000.0,10.8
563,201801241100.0,12.1
564,201801241200.0,12.6
565,201801241300.0,12.6
566,201801241400.0,12.5
567,201801241500.0,12.5
568,201801241600.0,12.1
569,201801241700.0,12.3
570,201801241800.0,12.1
571,201801241900.0,12.0
572,201801242000.0,12.4
573,201801242100.0,11.9
574,201801242200.0,12.1
575,201801242300.0,12.5
576,201801250000.0,12.5
577,201801250100.0,12.2
578,201801250200.0,10.6
579,201801250300.0,7.9
580,201801250400.0,8.0
581,201801250500.0,7.5
582,201801250600.0,7.2
583,201801250700.0,7.0
584,201801250800.0,7.1
585,201801250900.0,7.6
586,201801251000.0,8.1
587,201801251100.0,8.3
588,201801251200.0,8.5
589,201801251300.0,8.6
590,201801251400.0,8.5
591,201801251500.0,8.5
592,201801251600.0,8.2
593,201801251700.0,7.8
594,201801251800.0,8.3
595,201801251900.0,8.2
596,201801252000.0,7.9
597,201801252100.0,7.6
598,201801252200.0,7.2
599,201801252300.0,7.0
600,201801260000.0,6.9
601,201801260100.0,6.8
602,201801260200.0,6.5
603,201801260300.0,6.3
604,201801260400.0,6.1
605,201801260500.0,5.4
606,201801260600.0,5.6
