,Zeitstempel,Wert
0,201701010000.0,4.6
1,201701010015.0,4.699999999999999
2,201701010030.0,4.8
3,201701010045.0,4.9
4,201701010100.0,5.0
5,201701010115.0,4.975
6,201701010130.0,4.95
7,201701010145.0,4.925000000000001
8,201701010200.0,4.9
9,201701010215.0,4.575
10,201701010230.0,4.25
11,201701010245.0,3.9250000000000003
12,201701010300.0,3.6
13,201701010315.0,3.35
14,201701010330.0,3.1
15,201701010345.0,2.85
16,201701010400.0,2.6
17,201701010415.0,2.45
18,201701010430.0,2.3
19,201701010445.0,2.15
20,201701010500.0,2.0
21,201701010515.0,2.025
22,201701010530.0,2.05
23,201701010545.0,2.075
24,201701010600.0,2.1
25,201701010615.0,2.125
26,201701010630.0,2.1500000000000004
27,201701010645.0,2.1750000000000003
28,201701010700.0,2.2
29,201701010715.0,2.2
30,201701010730.0,2.2
31,201701010745.0,2.2
32,201701010800.0,2.2
33,201701010815.0,2.075
34,201701010830.0,1.9500000000000002
35,201701010845.0,1.825
36,201701010900.0,1.7
37,201701010915.0,1.75
38,201701010930.0,1.7999999999999998
39,201701010945.0,1.8499999999999999
40,201701011000.0,1.9
41,201701011015.0,1.975
42,201701011030.0,2.05
43,201701011045.0,2.125
44,201701011100.0,2.2
45,201701011115.0,2.1750000000000003
46,201701011130.0,2.1500000000000004
47,201701011145.0,2.125
48,201701011200.0,2.1
49,201701011215.0,2.125
50,201701011230.0,2.1500000000000004
51,201701011245.0,2.1750000000000003
52,201701011300.0,2.2
53,201701011315.0,2.4000000000000004
54,201701011330.0,2.6
55,201701011345.0,2.8
56,201701011400.0,3.0
57,201701011415.0,2.75
58,201701011430.0,2.5
59,201701011445.0,2.25
60,201701011500.0,2.0
61,201701011515.0,1.8
62,201701011530.0,1.6
63,201701011545.0,1.4
64,201701011600.0,1.2
65,201701011615.0,0.8999999999999999
66,201701011630.0,0.6
67,201701011645.0,0.30000000000000004
68,201701011700.0,0.0
69,201701011715.0,-0.05
70,201701011730.0,-0.1
71,201701011745.0,-0.15000000000000002
72,201701011800.0,-0.2
73,201701011815.0,0.07500000000000001
74,201701011830.0,0.35000000000000003
75,201701011845.0,0.625
76,201701011900.0,0.9
77,201701011915.0,0.8
78,201701011930.0,0.7
79,201701011945.0,0.6
80,201701012000.0,0.5
81,201701012015.0,0.65
82,201701012030.0,0.8
83,201701012045.0,0.9500000000000001
84,201701012100.0,1.1
85,201701012115.0,1.0
86,201701012130.0,0.9
87,201701012145.0,0.8
88,201701012200.0,0.7
89,201701012215.0,0.6
90,201701012230.0,0.5
91,201701012245.0,0.39999999999999997
92,201701012300.0,0.3
93,201701012315.0,0.275
94,201701012330.0,0.25
95,201701012345.0,0.225
96,201701020000.0,0.2
97,201701020015.0,0.2
98,201701020030.0,0.2
99,201701020045.0,0.2
100,201701020100.0,0.2
101,201701020115.0,0.2
102,201701020130.0,0.2
103,201701020145.0,0.2
104,201701020200.0,0.2
105,201701020215.0,0.225
106,201701020230.0,0.25
107,201701020245.0,0.275
108,201701020300.0,0.3
109,201701020315.0,0.39999999999999997
110,201701020330.0,0.5
111,201701020345.0,0.6
112,201701020400.0,0.7
113,201701020415.0,0.725
114,201701020430.0,0.75
115,201701020445.0,0.775
116,201701020500.0,0.8
117,201701020515.0,0.8250000000000001
118,201701020530.0,0.8500000000000001
119,201701020545.0,0.875
120,201701020600.0,0.9
121,201701020615.0,0.925
122,201701020630.0,0.95
123,201701020645.0,0.975
124,201701020700.0,1.0
125,201701020715.0,1.025
126,201701020730.0,1.05
127,201701020745.0,1.0750000000000002
128,201701020800.0,1.1
129,201701020815.0,1.1
130,201701020830.0,1.1
131,201701020845.0,1.1
132,201701020900.0,1.1
133,201701020915.0,1.1500000000000001
134,201701020930.0,1.2000000000000002
135,201701020945.0,1.25
136,201701021000.0,1.3
137,201701021015.0,1.425
138,201701021030.0,1.55
139,201701021045.0,1.675
140,201701021100.0,1.8
141,201701021115.0,1.875
142,201701021130.0,1.9500000000000002
143,201701021145.0,2.025
144,201701021200.0,2.1
145,201701021215.0,2.225
146,201701021230.0,2.35
147,201701021245.0,2.475
148,201701021300.0,2.6
149,201701021315.0,2.5
150,201701021330.0,2.4000000000000004
151,201701021345.0,2.3000000000000003
152,201701021400.0,2.2
153,201701021415.0,2.0500000000000003
