,Zeitstempel,Wert
0,201501010000.0,3.4
1,201501010015.0,3.325
2,201501010030.0,3.25
3,201501010045.0,3.175
4,201501010100.0,3.1
5,201501010115.0,2.975
6,201501010130.0,2.85
7,201501010145.0,2.725
8,201501010200.0,2.6
9,201501010215.0,2.65
10,201501010230.0,2.7
11,201501010245.0,2.75
12,201501010300.0,2.8
13,201501010315.0,2.7249999999999996
14,201501010330.0,2.65
15,201501010345.0,2.575
16,201501010400.0,2.5
17,201501010415.0,2.375
18,201501010430.0,2.25
19,201501010445.0,2.125
20,201501010500.0,2.0
21,201501010515.0,1.975
22,201501010530.0,1.95
23,201501010545.0,1.9249999999999998
24,201501010600.0,1.9
25,201501010615.0,1.775
26,201501010630.0,1.65
27,201501010645.0,1.525
28,201501010700.0,1.4
29,201501010715.0,1.4249999999999998
30,201501010730.0,1.45
31,201501010745.0,1.475
32,201501010800.0,1.5
33,201501010815.0,1.7
34,201501010830.0,1.9
35,201501010845.0,2.0999999999999996
36,201501010900.0,2.3
37,201501010915.0,2.4749999999999996
38,201501010930.0,2.65
39,201501010945.0,2.825
40,201501011000.0,3.0
41,201501011015.0,3.25
42,201501011030.0,3.5
43,201501011045.0,3.75
44,201501011100.0,4.0
45,201501011115.0,4.25
46,201501011130.0,4.5
47,201501011145.0,4.75
48,201501011200.0,5.0
49,201501011215.0,5.15
50,201501011230.0,5.3
51,201501011245.0,5.449999999999999
52,201501011300.0,5.6
53,201501011315.0,5.5249999999999995
54,201501011330.0,5.449999999999999
55,201501011345.0,5.375
56,201501011400.0,5.3
57,201501011415.0,5.175
58,201501011430.0,5.05
59,201501011445.0,4.925
60,201501011500.0,4.8
61,201501011515.0,4.7
62,201501011530.0,4.6
63,201501011545.0,4.5
64,201501011600.0,4.4
65,201501011615.0,4.275
66,201501011630.0,4.15
67,201501011645.0,4.025
68,201501011700.0,3.9
69,201501011715.0,3.9
70,201501011730.0,3.9
71,201501011745.0,3.9
72,201501011800.0,3.9
73,201501011815.0,3.75
74,201501011830.0,3.5999999999999996
75,201501011845.0,3.4499999999999997
76,201501011900.0,3.3
77,201501011915.0,3.5999999999999996
78,201501011930.0,3.9
79,201501011945.0,4.2
80,201501012000.0,4.5
81,201501012015.0,4.55
82,201501012030.0,4.6
83,201501012045.0,4.65
84,201501012100.0,4.7
85,201501012115.0,4.625
86,201501012130.0,4.550000000000001
87,201501012145.0,4.4750000000000005
88,201501012200.0,4.4
89,201501012215.0,4.675000000000001
90,201501012230.0,4.95
91,201501012245.0,5.225
92,201501012300.0,5.5
93,201501012315.0,5.475
94,201501012330.0,5.45
95,201501012345.0,5.425000000000001
96,201501020000.0,5.4
97,201501020015.0,5.625
98,201501020030.0,5.85
99,201501020045.0,6.075
100,201501020100.0,6.3
101,201501020115.0,6.475
102,201501020130.0,6.65
103,201501020145.0,6.825
104,201501020200.0,7.0
105,201501020215.0,7.1
106,201501020230.0,7.2
107,201501020245.0,7.300000000000001
108,201501020300.0,7.4
109,201501020315.0,7.3500000000000005
110,201501020330.0,7.300000000000001
111,201501020345.0,7.25
112,201501020400.0,7.2
113,201501020415.0,6.825
114,201501020430.0,6.45
115,201501020445.0,6.075
116,201501020500.0,5.7
117,201501020515.0,5.75
118,201501020530.0,5.800000000000001
119,201501020545.0,5.8500000000000005
120,201501020600.0,5.9
121,201501020615.0,6.050000000000001
122,201501020630.0,6.2
123,201501020645.0,6.35
124,201501020700.0,6.5
125,201501020715.0,6.55
126,201501020730.0,6.6
127,201501020745.0,6.65
128,201501020800.0,6.7
129,201501020815.0,6.625
130,201501020830.0,6.550000000000001
131,201501020845.0,6.4750000000000005
132,201501020900.0,6.4
133,201501020915.0,6.675000000000001
134,201501020930.0,6.95
135,201501020945.0,7.225
136,201501021000.0,7.5
137,201501021015.0,7.75
138,201501021030.0,8.0
139,201501021045.0,8.25
140,201501021100.0,8.5
141,201501021115.0,8.45
142,201501021130.0,8.4
143,201501021145.0,8.350000000000001
144,201501021200.0,8.3
145,201501021215.0,8.325000000000001
