,Zeitstempel,Wert
0,201601010000.0,3.1
1,201601010015.0,3.025
2,201601010030.0,2.95
3,201601010045.0,2.875
4,201601010100.0,2.8
5,201601010115.0,2.75
6,201601010130.0,2.7
7,201601010145.0,2.65
8,201601010200.0,2.6
9,201601010215.0,2.7
10,201601010230.0,2.8
11,201601010245.0,2.9
12,201601010300.0,3.0
13,201601010315.0,3.05
14,201601010330.0,3.1
15,201601010345.0,3.1500000000000004
16,201601010400.0,3.2
17,201601010415.0,3.125
18,201601010430.0,3.05
19,201601010445.0,2.975
20,201601010500.0,2.9
21,201601010515.0,2.9
22,201601010530.0,2.9
23,201601010545.0,2.9
24,201601010600.0,2.9
25,201601010615.0,2.925
26,201601010630.0,2.95
27,201601010645.0,2.975
28,201601010700.0,3.0
29,201601010715.0,3.25
30,201601010730.0,3.5
31,201601010745.0,3.75
32,201601010800.0,4.0
33,201601010815.0,4.225
34,201601010830.0,4.45
35,201601010845.0,4.675000000000001
36,201601010900.0,4.9
37,201601010915.0,4.925000000000001
38,201601010930.0,4.95
39,201601010945.0,4.975
40,201601011000.0,5.0
41,201601011015.0,5.175
42,201601011030.0,5.35
43,201601011045.0,5.525
44,201601011100.0,5.7
45,201601011115.0,5.85
46,201601011130.0,6.0
47,201601011145.0,6.15
48,201601011200.0,6.3
49,201601011215.0,6.3
50,201601011230.0,6.3
51,201601011245.0,6.3
52,201601011300.0,6.3
53,201601011315.0,6.325
54,201601011330.0,6.35
55,201601011345.0,6.375
56,201601011400.0,6.4
57,201601011415.0,6.3500000000000005
58,201601011430.0,6.300000000000001
59,201601011445.0,6.25
60,201601011500.0,6.2
61,201601011515.0,6.175
62,201601011530.0,6.15
63,201601011545.0,6.125
64,201601011600.0,6.1
65,201601011615.0,6.05
66,201601011630.0,6.0
67,201601011645.0,5.95
68,201601011700.0,5.9
69,201601011715.0,5.65
70,201601011730.0,5.4
71,201601011745.0,5.15
72,201601011800.0,4.9
73,201601011815.0,4.75
74,201601011830.0,4.6
75,201601011845.0,4.45
76,201601011900.0,4.3
77,201601011915.0,4.125
78,201601011930.0,3.95
79,201601011945.0,3.775
80,201601012000.0,3.6
81,201601012015.0,3.225
82,201601012030.0,2.85
83,201601012045.0,2.475
84,201601012100.0,2.1
85,201601012115.0,2.475
86,201601012130.0,2.85
87,201601012145.0,3.225
88,201601012200.0,3.6
89,201601012215.0,3.625
90,201601012230.0,3.6500000000000004
91,201601012245.0,3.6750000000000003
92,201601012300.0,3.7
93,201601012315.0,3.6750000000000003
94,201601012330.0,3.6500000000000004
95,201601012345.0,3.625
96,201601020000.0,3.6
97,201601020015.0,3.55
98,201601020030.0,3.5
99,201601020045.0,3.45
100,201601020100.0,3.4
101,201601020115.0,3.2
102,201601020130.0,3.0
103,201601020145.0,2.8
104,201601020200.0,2.6
105,201601020215.0,2.7
106,201601020230.0,2.8
107,201601020245.0,2.9
108,201601020300.0,3.0
109,201601020315.0,3.05
110,201601020330.0,3.1
111,201601020345.0,3.1500000000000004
112,201601020400.0,3.2
113,201601020415.0,3.225
114,201601020430.0,3.25
115,201601020445.0,3.275
116,201601020500.0,3.3
117,201601020515.0,3.2249999999999996
118,201601020530.0,3.15
119,201601020545.0,3.075
120,201601020600.0,3.0
121,201601020615.0,2.9
122,201601020630.0,2.8
123,201601020645.0,2.7
124,201601020700.0,2.6
125,201601020715.0,2.525
126,201601020730.0,2.45
127,201601020745.0,2.375
128,201601020800.0,2.3
129,201601020815.0,2.175
130,201601020830.0,2.05
131,201601020845.0,1.925
132,201601020900.0,1.8
133,201601020915.0,1.8
134,201601020930.0,1.8
135,201601020945.0,1.8
136,201601021000.0,1.8
137,201601021015.0,1.825
138,201601021030.0,1.85
139,201601021045.0,1.875
140,201601021100.0,1.9
141,201601021115.0,1.9
142,201601021130.0,1.9
143,201601021145.0,1.9
144,201601021200.0,1.9
145,201601021215.0,1.825
146,201601021230.0,1.75
147,201601021245.0,1.675
148,201601021300.0,1.6
149,201601021315.0,1.75
150,201601021330.0,1.9000000000000001
151,201601021345.0,2.0500000000000003
152,201601021400.0,2.2
153,201601021415.0,2.225
154,201601021430.0,2.25
155,201601021445.0,2.275
156,201601021500.0,2.3
157,201601021515.0,2.175
158,201601021530.0,2.05
159,201601021545.0,1.925
160,201601021600.0,1.8
161,201601021615.0,1.65
162,201601021630.0,1.5
163,201601021645.0,1.35
164,201601021700.0,1.2
165,201601021715.0,0.95
166,201601021730.0,0.7
167,201601021745.0,0.44999999999999996
168,201601021800.0,0.2
169,201601021815.0,0.0
170,201601021830.0,-0.2
171,201601021845.0,-0.4000000000000001
172,201601021900.0,-0.6
173,201601021915.0,-0.7999999999999999
174,201601021930.0,-1.0
175,201601021945.0,-1.2
176,201601022000.0,-1.4
177,201601022015.0,-1.575
178,201601022030.0,-1.75
179,201601022045.0,-1.925
180,201601022100.0,-2.1
181,201601022115.0,-2.225
182,201601022130.0,-2.35
183,201601022145.0,-2.475
184,201601022200.0,-2.6
185,201601022215.0,-2.75
186,201601022230.0,-2.9000000000000004
187,201601022245.0,-3.0500000000000003
188,201601022300.0,-3.2
189,201601022315.0,-3.325
190,201601022330.0,-3.45
191,201601022345.0,-3.575
192,201601030000.0,-3.7
193,201601030015.0,-3.7750000000000004
194,201601030030.0,-3.85
195,201601030045.0,-3.925
196,201601030100.0,-4.0
197,201601030115.0,-4.0
198,201601030130.0,-4.0
199,201601030145.0,-4.0
200,201601030200.0,-4.0
201,201601030215.0,-3.975
202,201601030230.0,-3.95
203,201601030245.0,-3.925
204,201601030300.0,-3.9
205,201601030315.0,-3.9499999999999997
206,201601030330.0,-4.0
207,201601030345.0,-4.05
208,201601030400.0,-4.1
209,201601030415.0,-4.1499999999999995
210,201601030430.0,-4.199999999999999
211,201601030445.0,-4.25
212,201601030500.0,-4.3
213,201601030515.0,-4.3
214,201601030530.0,-4.3
215,201601030545.0,-4.3
216,201601030600.0,-4.3
217,201601030615.0,-4.3
218,201601030630.0,-4.3
219,201601030645.0,-4.3
220,201601030700.0,-4.3
221,201601030715.0,-4.35
222,201601030730.0,-4.4
223,201601030745.0,-4.45
224,201601030800.0,-4.5
225,201601030815.0,-4.375
226,201601030830.0,-4.25
227,201601030845.0,-4.125
228,201601030900.0,-4.0
229,201601030915.0,-3.975
230,201601030930.0,-3.95
231,201601030945.0,-3.925
232,201601031000.0,-3.9
233,201601031015.0,-3.925
234,201601031030.0,-3.95
235,201601031045.0,-3.975
236,201601031100.0,-4.0
237,201601031115.0,-4.0
238,201601031130.0,-4.0
239,201601031145.0,-4.0
240,201601031200.0,-4.0
241,201601031215.0,-4.0
242,201601031230.0,-4.0
243,201601031245.0,-4.0
244,201601031300.0,-4.0
245,201601031315.0,-3.95
246,201601031330.0,-3.9
247,201601031345.0,-3.8499999999999996
248,201601031400.0,-3.8
249,201601031415.0,-3.8249999999999997
250,201601031430.0,-3.8499999999999996
251,201601031445.0,-3.875
252,201601031500.0,-3.9
253,201601031515.0,-3.9
254,201601031530.0,-3.9
255,201601031545.0,-3.9
256,201601031600.0,-3.9
257,201601031615.0,-3.9
258,201601031630.0,-3.9
259,201601031645.0,-3.9
260,201601031700.0,-3.9
261,201601031715.0,-3.925
262,201601031730.0,-3.95
263,201601031745.0,-3.975
264,201601031800.0,-4.0
265,201601031815.0,-4.025
266,201601031830.0,-4.05
267,201601031845.0,-4.074999999999999
268,201601031900.0,-4.1
269,201601031915.0,-4.1
270,201601031930.0,-4.1
271,201601031945.0,-4.1
272,201601032000.0,-4.1
273,201601032015.0,-4.05
274,201601032030.0,-4.0
275,201601032045.0,-3.9499999999999997
276,201601032100.0,-3.9
277,201601032115.0,-3.975
278,201601032130.0,-4.05
279,201601032145.0,-4.125
280,201601032200.0,-4.2
281,201601032215.0,-4.275
282,201601032230.0,-4.35
283,201601032245.0,-4.425
284,201601032300.0,-4.5
285,201601032315.0,-4.55
286,201601032330.0,-4.6
287,201601032345.0,-4.65
288,201601040000.0,-4.7
289,201601040015.0,-4.8
290,201601040030.0,-4.9
291,201601040045.0,-5.0
292,201601040100.0,-5.1
293,201601040115.0,-5.25
294,201601040130.0,-5.4
295,201601040145.0,-5.55
296,201601040200.0,-5.7
297,201601040215.0,-5.775
298,201601040230.0,-5.85
299,201601040245.0,-5.925
300,201601040300.0,-6.0
301,201601040315.0,-5.975
302,201601040330.0,-5.95
303,201601040345.0,-5.925000000000001
304,201601040400.0,-5.9
305,201601040415.0,-6.0
306,201601040430.0,-6.1
307,201601040445.0,-6.2
308,201601040500.0,-6.3
309,201601040515.0,-6.3
310,201601040530.0,-6.3
311,201601040545.0,-6.3
312,201601040600.0,-6.3
313,201601040615.0,-6.325
314,201601040630.0,-6.35
315,201601040645.0,-6.375
316,201601040700.0,-6.4
317,201601040715.0,-6.3500000000000005
318,201601040730.0,-6.300000000000001
319,201601040745.0,-6.25
320,201601040800.0,-6.2
321,201601040815.0,-6.325
322,201601040830.0,-6.45
323,201601040845.0,-6.575
324,201601040900.0,-6.7
325,201601040915.0,-6.625
326,201601040930.0,-6.550000000000001
327,201601040945.0,-6.4750000000000005
328,201601041000.0,-6.4
329,201601041015.0,-6.4
330,201601041030.0,-6.4
331,201601041045.0,-6.4
332,201601041100.0,-6.4
333,201601041115.0,-6.375
334,201601041130.0,-6.35
335,201601041145.0,-6.325
336,201601041200.0,-6.3
337,201601041215.0,-6.3
338,201601041230.0,-6.3
339,201601041245.0,-6.3
340,201601041300.0,-6.3
341,201601041315.0,-6.2
342,201601041330.0,-6.1
343,201601041345.0,-6.0
344,201601041400.0,-5.9
345,201601041415.0,-5.9
346,201601041430.0,-5.9
347,201601041445.0,-5.9
348,201601041500.0,-5.9
349,201601041515.0,-5.8500000000000005
350,201601041530.0,-5.800000000000001
351,201601041545.0,-5.75
352,201601041600.0,-5.7
353,201601041615.0,-5.675
354,201601041630.0,-5.65
355,201601041645.0,-5.625
356,201601041700.0,-5.6
357,201601041715.0,-5.6
358,201601041730.0,-5.6
359,201601041745.0,-5.6
360,201601041800.0,-5.6
361,201601041815.0,-5.55
362,201601041830.0,-5.5
363,201601041845.0,-5.45
364,201601041900.0,-5.4
365,201601041915.0,-5.4
366,201601041930.0,-5.4
367,201601041945.0,-5.4
368,201601042000.0,-5.4
369,201601042015.0,-5.4
370,201601042030.0,-5.4
371,201601042045.0,-5.4
372,201601042100.0,-5.4
373,201601042115.0,-5.3500000000000005
374,201601042130.0,-5.300000000000001
375,201601042145.0,-5.25
376,201601042200.0,-5.2
377,201601042215.0,-5.2
378,201601042230.0,-5.2
379,201601042245.0,-5.2
380,201601042300.0,-5.2
381,201601042315.0,-5.2
382,201601042330.0,-5.2
383,201601042345.0,-5.2
384,201601050000.0,-5.2
385,201601050015.0,-5.175
386,201601050030.0,-5.15
387,201601050045.0,-5.125
388,201601050100.0,-5.1
389,201601050115.0,-5.125
390,201601050130.0,-5.15
391,201601050145.0,-5.175
392,201601050200.0,-5.2
393,201601050215.0,-5.225
394,201601050230.0,-5.25
395,201601050245.0,-5.275
396,201601050300.0,-5.3
397,201601050315.0,-5.35
