,Zeitstempel,Wert
0,201901010000.0,8.0
1,201901010015.0,7.875
2,201901010030.0,7.75
3,201901010045.0,7.625
4,201901010100.0,7.5
5,201901010115.0,7.425
6,201901010130.0,7.35
7,201901010145.0,7.275
8,201901010200.0,7.2
9,201901010215.0,7.25
10,201901010230.0,7.300000000000001
11,201901010245.0,7.3500000000000005
12,201901010300.0,7.4
13,201901010315.0,7.4
14,201901010330.0,7.4
15,201901010345.0,7.4
16,201901010400.0,7.4
17,201901010415.0,7.325
18,201901010430.0,7.25
19,201901010445.0,7.175
20,201901010500.0,7.1
21,201901010515.0,7.0249999999999995
22,201901010530.0,6.949999999999999
23,201901010545.0,6.875
24,201901010600.0,6.8
25,201901010615.0,6.8
26,201901010630.0,6.8
27,201901010645.0,6.8
28,201901010700.0,6.8
29,201901010715.0,6.825
30,201901010730.0,6.85
31,201901010745.0,6.875
32,201901010800.0,6.9
33,201901010815.0,6.9750000000000005
34,201901010830.0,7.050000000000001
35,201901010845.0,7.125
36,201901010900.0,7.2
37,201901010915.0,7.25
38,201901010930.0,7.300000000000001
39,201901010945.0,7.3500000000000005
40,201901011000.0,7.4
41,201901011015.0,7.4
42,201901011030.0,7.4
43,201901011045.0,7.4
44,201901011100.0,7.4
45,201901011115.0,7.525
46,201901011130.0,7.65
47,201901011145.0,7.775
48,201901011200.0,7.9
49,201901011215.0,7.825
50,201901011230.0,7.75
51,201901011245.0,7.675
52,201901011300.0,7.6
53,201901011315.0,7.574999999999999
54,201901011330.0,7.55
55,201901011345.0,7.525
56,201901011400.0,7.5
57,201901011415.0,6.975
58,201901011430.0,6.45
59,201901011445.0,5.925000000000001
60,201901011500.0,5.4
61,201901011515.0,5.375
62,201901011530.0,5.35
63,201901011545.0,5.325
64,201901011600.0,5.3
65,201901011615.0,5.15
66,201901011630.0,5.0
67,201901011645.0,4.85
68,201901011700.0,4.7
69,201901011715.0,4.65
70,201901011730.0,4.6
71,201901011745.0,4.55
72,201901011800.0,4.5
73,201901011815.0,4.4
74,201901011830.0,4.3
75,201901011845.0,4.199999999999999
76,201901011900.0,4.1
77,201901011915.0,4.074999999999999
78,201901011930.0,4.05
