,time,temperature
0,201507041400.0,36.0
1,201608281400.0,34.0
2,201706221100.0,31.9
3,201808071500.0,35.6
4,201907251300.0,37.4
5,202002161900.0,17.7
6,202002161915.0,17.7
7,202002161930.0,17.7
8,202002161945.0,17.7
9,202002162000.0,17.7
