,Zeitstempel,Wert
0,201801010000.0,10.1
1,201801010015.0,10.05
2,201801010030.0,10.0
3,201801010045.0,9.95
4,201801010100.0,9.9
5,201801010115.0,9.825
6,201801010130.0,9.75
7,201801010145.0,9.675
8,201801010200.0,9.6
9,201801010215.0,9.55
10,201801010230.0,9.5
11,201801010245.0,9.45
12,201801010300.0,9.4
13,201801010315.0,9.2
14,201801010330.0,9.0
15,201801010345.0,8.8
16,201801010400.0,8.6
17,201801010415.0,8.55
18,201801010430.0,8.5
19,201801010445.0,8.45
20,201801010500.0,8.4
21,201801010515.0,8.375
22,201801010530.0,8.350000000000001
23,201801010545.0,8.325000000000001
24,201801010600.0,8.3
25,201801010615.0,8.3
26,201801010630.0,8.3
27,201801010645.0,8.3
28,201801010700.0,8.3
29,201801010715.0,8.075000000000001
30,201801010730.0,7.8500000000000005
31,201801010745.0,7.625
32,201801010800.0,7.4
33,201801010815.0,6.95
34,201801010830.0,6.5
35,201801010845.0,6.05
36,201801010900.0,5.6
37,201801010915.0,5.725
38,201801010930.0,5.85
39,201801010945.0,5.975
40,201801011000.0,6.1
41,201801011015.0,6.175
42,201801011030.0,6.25
43,201801011045.0,6.325
44,201801011100.0,6.4
45,201801011115.0,6.7
46,201801011130.0,7.0
47,201801011145.0,7.3
48,201801011200.0,7.6
49,201801011215.0,7.625
50,201801011230.0,7.65
51,201801011245.0,7.675
52,201801011300.0,7.7
53,201801011315.0,7.65
54,201801011330.0,7.6
55,201801011345.0,7.55
56,201801011400.0,7.5
57,201801011415.0,7.4
58,201801011430.0,7.3
59,201801011445.0,7.199999999999999
60,201801011500.0,7.1
61,201801011515.0,6.975
62,201801011530.0,6.85
63,201801011545.0,6.725
64,201801011600.0,6.6
65,201801011615.0,6.425
66,201801011630.0,6.25
67,201801011645.0,6.075
68,201801011700.0,5.9
69,201801011715.0,5.875
70,201801011730.0,5.85
71,201801011745.0,5.825
72,201801011800.0,5.8
73,201801011815.0,5.85
74,201801011830.0,5.9
75,201801011845.0,5.95
76,201801011900.0,6.0
77,201801011915.0,5.95
78,201801011930.0,5.9
79,201801011945.0,5.85
80,201801012000.0,5.8
81,201801012015.0,5.825
82,201801012030.0,5.85
83,201801012045.0,5.875
84,201801012100.0,5.9
85,201801012115.0,5.7250000000000005
86,201801012130.0,5.550000000000001
87,201801012145.0,5.375
88,201801012200.0,5.2
89,201801012215.0,5.125
90,201801012230.0,5.050000000000001
91,201801012245.0,4.9750000000000005
92,201801012300.0,4.9
93,201801012315.0,4.825
94,201801012330.0,4.75
95,201801012345.0,4.675
96,201801020000.0,4.6
97,201801020015.0,4.5
98,201801020030.0,4.4
99,201801020045.0,4.3
100,201801020100.0,4.2
101,201801020115.0,4.15
102,201801020130.0,4.1
103,201801020145.0,4.05
104,201801020200.0,4.0
105,201801020215.0,4.05
106,201801020230.0,4.1
107,201801020245.0,4.15
108,201801020300.0,4.2
109,201801020315.0,4.3
110,201801020330.0,4.4
111,201801020345.0,4.5
112,201801020400.0,4.6
113,201801020415.0,4.675
114,201801020430.0,4.75
115,201801020445.0,4.825
116,201801020500.0,4.9
117,201801020515.0,4.9750000000000005
118,201801020530.0,5.050000000000001
119,201801020545.0,5.125
120,201801020600.0,5.2
121,201801020615.0,5.225
122,201801020630.0,5.25
123,201801020645.0,5.275
124,201801020700.0,5.3
125,201801020715.0,5.3
126,201801020730.0,5.3
127,201801020745.0,5.3
128,201801020800.0,5.3
129,201801020815.0,5.275
130,201801020830.0,5.25
131,201801020845.0,5.225
132,201801020900.0,5.2
133,201801020915.0,5.325
134,201801020930.0,5.45
135,201801020945.0,5.575
136,201801021000.0,5.7
137,201801021015.0,5.825
138,201801021030.0,5.95
139,201801021045.0,6.075
140,201801021100.0,6.2
141,201801021115.0,6.175
142,201801021130.0,6.15
143,201801021145.0,6.125
144,201801021200.0,6.1
145,201801021215.0,6.175
146,201801021230.0,6.25
147,201801021245.0,6.325
148,201801021300.0,6.4
149,201801021315.0,6.375
150,201801021330.0,6.35
151,201801021345.0,6.325
152,201801021400.0,6.3
153,201801021415.0,6.2
154,201801021430.0,6.1
155,201801021445.0,6.0
156,201801021500.0,5.9
157,201801021515.0,5.800000000000001
158,201801021530.0,5.7
159,201801021545.0,5.6
160,201801021600.0,5.5
161,201801021615.0,5.55
162,201801021630.0,5.6
163,201801021645.0,5.65
164,201801021700.0,5.7
165,201801021715.0,5.65
166,201801021730.0,5.6
167,201801021745.0,5.55
168,201801021800.0,5.5
169,201801021815.0,5.525
170,201801021830.0,5.55
171,201801021845.0,5.574999999999999
172,201801021900.0,5.6
173,201801021915.0,5.5
174,201801021930.0,5.4
175,201801021945.0,5.3
176,201801022000.0,5.2
177,201801022015.0,5.2
178,201801022030.0,5.2
179,201801022045.0,5.2
180,201801022100.0,5.2
181,201801022115.0,5.15
182,201801022130.0,5.1
183,201801022145.0,5.05
184,201801022200.0,5.0
185,201801022215.0,5.1
186,201801022230.0,5.2
187,201801022245.0,5.300000000000001
188,201801022300.0,5.4
189,201801022315.0,5.4
190,201801022330.0,5.4
191,201801022345.0,5.4
192,201801030000.0,5.4
193,201801030015.0,5.6000000000000005
194,201801030030.0,5.800000000000001
195,201801030045.0,6.0
196,201801030100.0,6.2
197,201801030115.0,6.1
198,201801030130.0,6.0
199,201801030145.0,5.9
200,201801030200.0,5.8
201,201801030215.0,5.75
202,201801030230.0,5.699999999999999
203,201801030245.0,5.6499999999999995
204,201801030300.0,5.6
205,201801030315.0,5.625
206,201801030330.0,5.65
207,201801030345.0,5.675
208,201801030400.0,5.7
209,201801030415.0,5.825
210,201801030430.0,5.95
211,201801030445.0,6.075
212,201801030500.0,6.2
213,201801030515.0,6.625
214,201801030530.0,7.050000000000001
215,201801030545.0,7.4750000000000005
216,201801030600.0,7.9
217,201801030615.0,8.1
218,201801030630.0,8.3
219,201801030645.0,8.5
220,201801030700.0,8.7
221,201801030715.0,8.75
222,201801030730.0,8.8
223,201801030745.0,8.85
224,201801030800.0,8.9
225,201801030815.0,8.55
226,201801030830.0,8.2
227,201801030845.0,7.85
228,201801030900.0,7.5
229,201801030915.0,7.325
230,201801030930.0,7.15
231,201801030945.0,6.975
232,201801031000.0,6.8
233,201801031015.0,6.9
234,201801031030.0,7.0
235,201801031045.0,7.1
236,201801031100.0,7.2
237,201801031115.0,7.3
238,201801031130.0,7.4
239,201801031145.0,7.5
240,201801031200.0,7.6
241,201801031215.0,7.25
242,201801031230.0,6.9
243,201801031245.0,6.55
244,201801031300.0,6.2
245,201801031315.0,6.225
246,201801031330.0,6.25
247,201801031345.0,6.275
248,201801031400.0,6.3
249,201801031415.0,6.275
250,201801031430.0,6.25
251,201801031445.0,6.225
252,201801031500.0,6.2
253,201801031515.0,6.225
254,201801031530.0,6.25
255,201801031545.0,6.275
256,201801031600.0,6.3
257,201801031615.0,6.375
258,201801031630.0,6.449999999999999
259,201801031645.0,6.5249999999999995
260,201801031700.0,6.6
261,201801031715.0,6.55
262,201801031730.0,6.5
263,201801031745.0,6.45
264,201801031800.0,6.4
265,201801031815.0,6.5
266,201801031830.0,6.6
267,201801031845.0,6.7
268,201801031900.0,6.8
269,201801031915.0,6.875
270,201801031930.0,6.949999999999999
271,201801031945.0,7.0249999999999995
272,201801032000.0,7.1
273,201801032015.0,7.1
274,201801032030.0,7.1
275,201801032045.0,7.1
276,201801032100.0,7.1
277,201801032115.0,7.125
278,201801032130.0,7.15
279,201801032145.0,7.175
280,201801032200.0,7.2
281,201801032215.0,7.125
282,201801032230.0,7.050000000000001
283,201801032245.0,6.9750000000000005
284,201801032300.0,6.9
285,201801032315.0,6.9
286,201801032330.0,6.9
287,201801032345.0,6.9
288,201801040000.0,6.9
289,201801040015.0,6.800000000000001
290,201801040030.0,6.7
291,201801040045.0,6.6
292,201801040100.0,6.5
293,201801040115.0,6.375
294,201801040130.0,6.25
295,201801040145.0,6.125
296,201801040200.0,6.0
297,201801040215.0,6.15
298,201801040230.0,6.3
299,201801040245.0,6.449999999999999
300,201801040300.0,6.6
301,201801040315.0,6.625
302,201801040330.0,6.65
303,201801040345.0,6.675
304,201801040400.0,6.7
305,201801040415.0,6.75
306,201801040430.0,6.800000000000001
307,201801040445.0,6.8500000000000005
308,201801040500.0,6.9
309,201801040515.0,6.925000000000001
310,201801040530.0,6.95
311,201801040545.0,6.975
312,201801040600.0,7.0
313,201801040615.0,7.05
314,201801040630.0,7.1
315,201801040645.0,7.15
316,201801040700.0,7.2
317,201801040715.0,7.075
318,201801040730.0,6.95
319,201801040745.0,6.825
320,201801040800.0,6.7
321,201801040815.0,6.65
322,201801040830.0,6.6
323,201801040845.0,6.55
324,201801040900.0,6.5
325,201801040915.0,6.6
326,201801040930.0,6.7
327,201801040945.0,6.800000000000001
328,201801041000.0,6.9
329,201801041015.0,6.95
330,201801041030.0,7.0
331,201801041045.0,7.05
332,201801041100.0,7.1
333,201801041115.0,7.1
334,201801041130.0,7.1
335,201801041145.0,7.1
336,201801041200.0,7.1
337,201801041215.0,7.175
338,201801041230.0,7.25
339,201801041245.0,7.325
340,201801041300.0,7.4
341,201801041315.0,7.425000000000001
342,201801041330.0,7.45
343,201801041345.0,7.475
344,201801041400.0,7.5
345,201801041415.0,7.525
346,201801041430.0,7.55
347,201801041445.0,7.574999999999999
348,201801041500.0,7.6
349,201801041515.0,7.6
350,201801041530.0,7.6
351,201801041545.0,7.6
352,201801041600.0,7.6
353,201801041615.0,7.324999999999999
354,201801041630.0,7.05
355,201801041645.0,6.775
356,201801041700.0,6.5
357,201801041715.0,6.375
358,201801041730.0,6.25
359,201801041745.0,6.125
360,201801041800.0,6.0
361,201801041815.0,6.125
362,201801041830.0,6.25
363,201801041845.0,6.375
364,201801041900.0,6.5
365,201801041915.0,6.6
366,201801041930.0,6.7
367,201801041945.0,6.800000000000001
368,201801042000.0,6.9
369,201801042015.0,7.275
370,201801042030.0,7.65
371,201801042045.0,8.025
372,201801042100.0,8.4
373,201801042115.0,8.625
374,201801042130.0,8.850000000000001
375,201801042145.0,9.075000000000001
376,201801042200.0,9.3
377,201801042215.0,9.175
378,201801042230.0,9.05
379,201801042245.0,8.925
380,201801042300.0,8.8
381,201801042315.0,8.700000000000001
382,201801042330.0,8.600000000000001
383,201801042345.0,8.5
384,201801050000.0,8.4
385,201801050015.0,8.225
386,201801050030.0,8.05
387,201801050045.0,7.875
388,201801050100.0,7.7
389,201801050115.0,7.7
390,201801050130.0,7.7
391,201801050145.0,7.7
392,201801050200.0,7.7
393,201801050215.0,7.725
394,201801050230.0,7.75
395,201801050245.0,7.775
396,201801050300.0,7.8
397,201801050315.0,7.7
398,201801050330.0,7.6
399,201801050345.0,7.5
400,201801050400.0,7.4
401,201801050415.0,7.4
402,201801050430.0,7.4
403,201801050445.0,7.4
404,201801050500.0,7.4
405,201801050515.0,7.45
406,201801050530.0,7.5
407,201801050545.0,7.55
408,201801050600.0,7.6
409,201801050615.0,7.6499999999999995
410,201801050630.0,7.699999999999999
411,201801050645.0,7.75
412,201801050700.0,7.8
413,201801050715.0,7.55
414,201801050730.0,7.3
415,201801050745.0,7.05
416,201801050800.0,6.8
417,201801050815.0,6.75
418,201801050830.0,6.699999999999999
419,201801050845.0,6.6499999999999995
420,201801050900.0,6.6
421,201801050915.0,6.5
422,201801050930.0,6.4
423,201801050945.0,6.3
424,201801051000.0,6.2
425,201801051015.0,6.35
426,201801051030.0,6.5
427,201801051045.0,6.65
428,201801051100.0,6.8
429,201801051115.0,6.85
430,201801051130.0,6.9
431,201801051145.0,6.95
432,201801051200.0,7.0
433,201801051215.0,7.0
434,201801051230.0,7.0
435,201801051245.0,7.0
436,201801051300.0,7.0
437,201801051315.0,7.0
438,201801051330.0,7.0
439,201801051345.0,7.0
440,201801051400.0,7.0
441,201801051415.0,6.95
442,201801051430.0,6.9
443,201801051445.0,6.85
444,201801051500.0,6.8
445,201801051515.0,6.75
446,201801051530.0,6.699999999999999
447,201801051545.0,6.6499999999999995
448,201801051600.0,6.6
449,201801051615.0,6.574999999999999
450,201801051630.0,6.55
451,201801051645.0,6.525
452,201801051700.0,6.5
453,201801051715.0,6.65
454,201801051730.0,6.8
455,201801051745.0,6.949999999999999
456,201801051800.0,7.1
457,201801051815.0,7.1499999999999995
458,201801051830.0,7.199999999999999
459,201801051845.0,7.25
460,201801051900.0,7.3
461,201801051915.0,7.2
462,201801051930.0,7.1
463,201801051945.0,7.0
464,201801052000.0,6.9
