Produkt_Code,SDO_ID,Zeitstempel,Wert,Qualitaet_Niveau,Qualitaet_Byte
TT_TU_MN009,2014,201501051700.00,2.6,7,1
TT_TU_MN009,2014,201501051800.00,2.6,7,1
TT_TU_MN009,2014,201501051900.00,2.7,7,1
TT_TU_MN009,2014,201501052000.00,2.7,7,1
TT_TU_MN009,2014,201501052100.00,2.8,7,1
TT_TU_MN009,2014,201501052200.00,2.6,7,1
TT_TU_MN009,2014,201501052300.00,2.6,7,1
TT_TU_MN009,2014,201501060000.00,2.6,7,1
TT_TU_MN009,2014,201501060100.00,2.5,7,1
TT_TU_MN009,2014,201501060200.00,2.7,7,1
TT_TU_MN009,2014,201501060300.00,2.3,7,1
TT_TU_MN009,2014,201501060400.00,2.1,7,1
TT_TU_MN009,2014,201501060500.00,2.4,7,1
TT_TU_MN009,2014,201501060600.00,2.5,7,1
TT_TU_MN009,2014,201501060700.00,2.4,7,1
TT_TU_MN009,2014,201501060800.00,2.7,7,1
TT_TU_MN009,2014,201501060900.00,2.9,7,1
TT_TU_MN009,2014,201501061000.00,2.9,7,1
TT_TU_MN009,2014,201501061100.00,3.4,7,1
TT_TU_MN009,2014,201501061200.00,3.8,7,1
TT_TU_MN009,2014,201501061300.00,3.8,7,1
TT_TU_MN009,2014,201501061400.00,3.7,7,1
TT_TU_MN009,2014,201501061500.00,3.4,7,1
TT_TU_MN009,2014,201501061600.00,2.9,7,1
TT_TU_MN009,2014,201501061700.00,2.5,7,1
TT_TU_MN009,2014,201501061800.00,2.2,7,1
TT_TU_MN009,2014,201501061900.00,1.6,7,1
TT_TU_MN009,2014,201501062000.00,1,7,1
TT_TU_MN009,2014,201501062100.00,2.3,7,1
TT_TU_MN009,2014,201501062200.00,2.2,7,1
TT_TU_MN009,2014,201501062300.00,2.5,7,1
TT_TU_MN009,2014,201501070000.00,3.4,7,1
TT_TU_MN009,2014,201501070100.00,3.4,7,1
TT_TU_MN009,2014,201501070200.00,3.8,7,1
TT_TU_MN009,2014,201501070300.00,4.1,7,1
TT_TU_MN009,2014,201501070400.00,4,7,1
TT_TU_MN009,2014,201501070500.00,4.3,7,1
TT_TU_MN009,2014,201501070600.00,3.9,7,1
TT_TU_MN009,2014,201501070700.00,4.3,7,1
TT_TU_MN009,2014,201501070800.00,4.4,7,1
TT_TU_MN009,2014,201501070900.00,4.9,7,1
TT_TU_MN009,2014,201501071000.00,5,7,1
TT_TU_MN009,2014,201501071100.00,5.5,7,1
TT_TU_MN009,2014,201501071200.00,5.4,7,1
TT_TU_MN009,2014,201501071300.00,5.4,7,1
TT_TU_MN009,2014,201501071400.00,5.5,7,1
TT_TU_MN009,2014,201501071500.00,4.6,7,1
TT_TU_MN009,2014,201501071600.00,3.7,7,1
TT_TU_MN009,2014,201501071700.00,3.3,7,1
TT_TU_MN009,2014,201501071800.00,3.5,7,1
TT_TU_MN009,2014,201501071900.00,3.8,7,1
TT_TU_MN009,2014,201501072000.00,4.1,7,1
TT_TU_MN009,2014,201501072100.00,3.7,7,1
TT_TU_MN009,2014,201501072200.00,3.4,7,1
TT_TU_MN009,2014,201501072300.00,3,7,1
TT_TU_MN009,2014,201501080000.00,3.2,7,1
TT_TU_MN009,2014,201501080100.00,2.8,7,1
TT_TU_MN009,2014,201501080200.00,3.3,7,1
TT_TU_MN009,2014,201501080300.00,4,7,1
TT_TU_MN009,2014,201501080400.00,4,7,1
TT_TU_MN009,2014,201501080500.00,3.9,7,1
TT_TU_MN009,2014,201501080600.00,4,7,1
TT_TU_MN009,2014,201501080700.00,4.8,7,1
TT_TU_MN009,2014,201501080800.00,5.4,7,1
TT_TU_MN009,2014,201501080900.00,5.5,7,1
TT_TU_MN009,2014,201501081000.00,6.4,7,1
TT_TU_MN009,2014,201501081100.00,7,7,1
TT_TU_MN009,2014,201501081200.00,6.9,7,1
TT_TU_MN009,2014,201501081300.00,6.3,7,1
TT_TU_MN009,2014,201501081400.00,6.3,7,1
TT_TU_MN009,2014,201501081500.00,6.5,7,1
TT_TU_MN009,2014,201501081600.00,6.7,7,1
TT_TU_MN009,2014,201501081700.00,7.3,7,1
TT_TU_MN009,2014,201501081800.00,6.6,7,1
TT_TU_MN009,2014,201501081900.00,4.6,7,1
TT_TU_MN009,2014,201501082000.00,4.6,7,1
TT_TU_MN009,2014,201501082100.00,5.4,7,1
TT_TU_MN009,2014,201501082200.00,5.3,7,1
TT_TU_MN009,2014,201501082300.00,5.8,7,1
TT_TU_MN009,2014,201501090000.00,5.9,7,1
TT_TU_MN009,2014,201501090100.00,5.9,7,1
TT_TU_MN009,2014,201501090200.00,5.7,7,1
TT_TU_MN009,2014,201501090300.00,5.9,7,1
TT_TU_MN009,2014,201501090400.00,6.3,7,1
TT_TU_MN009,2014,201501090500.00,6.8,7,1
TT_TU_MN009,2014,201501090600.00,7.3,7,1
TT_TU_MN009,2014,201501090700.00,7.8,7,1
TT_TU_MN009,2014,201501090800.00,8.4,7,1
TT_TU_MN009,2014,201501090900.00,8.6,7,1
TT_TU_MN009,2014,201501091000.00,8.8,7,1
TT_TU_MN009,2014,201501091100.00,8.8,7,1
TT_TU_MN009,2014,201501091200.00,8.3,7,1
TT_TU_MN009,2014,201501091300.00,8.9,7,1
TT_TU_MN009,2014,201501091400.00,9.8,7,1
TT_TU_MN009,2014,201501091500.00,9.8,7,1
TT_TU_MN009,2014,201501091600.00,9.4,7,1
TT_TU_MN009,2014,201501091700.00,9.3,7,1
